Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,t_Stop,Stop,NoGo_Feedback
1,1658741283393,25/07/2022 09:28:03,1658741283334,1,25/07/2022 10:28:03,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1658741313419,25/07/2022 09:28:33,1658741313385,1,25/07/2022 10:28:33,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,1,1,1,Screen 1,Zone1,timelimit_screen,30001.761000000002,,,,,0,1,0,,,1,,,instructions,,,,,
3,1658741319576,25/07/2022 09:28:39,1658741319533,1,25/07/2022 10:28:39,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,2,1,1,Screen 1,advancementZone,continue_keyboard,6139.5999999996275,,,,,0,1,0,,,,,,practice instructions,,,,,
4,1658741320550,25/07/2022 09:28:40,1658741320514,1,25/07/2022 10:28:40,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,48,1,1,Screen 1,button,timelimit_screen,1000.1199999999953,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,150,Right_nogo.png,IsTrue
5,1658741321542,25/07/2022 09:28:41,1658741321514,1,25/07/2022 10:28:41,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,48,1,2,Screen 2,button,timelimit_screen,1000.1240000000034,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,150,Right_nogo.png,IsTrue
6,1658741322090,25/07/2022 09:28:42,1658741322072,1,25/07/2022 10:28:42,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,48,1,3,TEST,Zone2,response_keyboard_single,549.0999999996275,,,Right,1,0,1,0,,,,,1,taskStop,Right_go.png,NoGo,150,Right_nogo.png,IsTrue
7,1658741323692,25/07/2022 09:28:43,1658741323664,1,25/07/2022 10:28:43,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,48,1,5,False,button,timelimit_screen,999.9409999999989,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,150,Right_nogo.png,IsTrue
8,1658741323893,25/07/2022 09:28:43,1658741323864,1,25/07/2022 10:28:43,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,48,1,6,IsTrue,button,timelimit_screen,200.09300000000076,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,150,Right_nogo.png,IsTrue
9,1658741324895,25/07/2022 09:28:44,1658741324864,1,25/07/2022 10:28:44,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,10,2,1,Screen 1,button,timelimit_screen,1000.0720000000001,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,150,Left_nogo.png,IsTrue
10,1658741325892,25/07/2022 09:28:45,1658741325864,1,25/07/2022 10:28:45,92270,31,task-ai5n,,23275882,p002,6832167,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.5060.134,1920x1080,1920x969,,Stop Signal Delay - Before Caffeine ,8,task full,task full,10,2,2,Screen 2,button,timelimit_screen,1000.0380000000005,,,,,0,1,0,,,1,,1,taskStop,Left_go.png,NoGo,150,Left_nogo.png,IsTrue
