Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,t_Stop,Stop,NoGo_Feedback
1,1658831295741,26/07/2022 10:28:15,1658831295694,1,26/07/2022 11:28:15,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1658831302908,26/07/2022 10:28:22,1658831302896,1,26/07/2022 11:28:22,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,1,1,1,Screen 1,button,continue_keyboard,7138.5999999996275,,,,,0,1,0,,,,,,instructions,,,,,
3,1658831306098,26/07/2022 10:28:26,1658831306074,1,26/07/2022 11:28:26,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,2,1,1,Screen 1,advancementZone,continue_keyboard,3172.2000000001863,,,,,0,1,0,,,,,,practice instructions,,,,,
4,1658831307087,26/07/2022 10:28:27,1658831307076,1,26/07/2022 11:28:27,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,55,1,1,Screen 1,button,timelimit_screen,1000.235999999999,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
5,1658831308112,26/07/2022 10:28:28,1658831308074,1,26/07/2022 11:28:28,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,55,1,2,Screen 2,button,timelimit_screen,1000.0910000000003,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
6,1658831309290,26/07/2022 10:28:29,1658831309275,1,26/07/2022 11:28:29,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,55,1,3,TEST,gosignal,gonogo,1200.0910000000003,,,NoGo,,1,0,0,,,,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
7,1658831309488,26/07/2022 10:28:29,1658831309475,1,26/07/2022 11:28:29,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,55,1,6,IsTrue,button,timelimit_screen,200.04999999999927,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
8,1658831310488,26/07/2022 10:28:30,1658831310475,1,26/07/2022 11:28:30,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,5,2,1,Screen 1,button,timelimit_screen,1000.0370000000003,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
9,1658831311509,26/07/2022 10:28:31,1658831311474,1,26/07/2022 11:28:31,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,5,2,2,Screen 2,button,timelimit_screen,1000.0500000000011,,,,,0,1,0,,,1,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
10,1658831312687,26/07/2022 10:28:32,1658831312674,1,26/07/2022 11:28:32,92270,33,task-1njw,,23305077,p003,6832166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x1080,,Stop Signal Delay - After Caffeine ,7,task full ,task full ,5,2,3,TEST,gosignal,gonogo,1200.0029999999988,,,NoGo,,1,0,0,,,,,1,taskStop,Right_go.png,NoGo,200,Right_nogo.png,IsTrue
